height,weight,age,Cluster
201.0,92.0,81.0,0
201.0,88.0,83.0,0
201.0,113.0,83.0,1
198.0,95.0,82.0,1
198.0,95.0,82.0,1
196.0,88.0,81.0,1
203.0,92.0,82.0,0
201.0,95.0,83.0,1
185.0,77.0,82.0,0
203.0,99.0,83.0,1
196.0,92.0,82.0,1
190.0,83.0,82.0,0
196.0,92.0,83.0,1
196.0,88.0,83.0,1
173.0,77.0,83.0,0
201.0,90.0,84.0,0
208.0,106.0,85.0,1
208.0,106.0,85.0,1
208.0,106.0,85.0,1
196.0,90.0,84.0,1
198.0,95.0,82.0,1
198.0,95.0,82.0,1
188.0,81.0,83.0,0
208.0,102.0,81.0,1
183.0,77.0,81.0,0
203.0,95.0,84.0,1
190.0,81.0,82.0,0
206.0,93.0,81.0,1
208.0,104.0,82.0,1
196.0,83.0,82.0,1
188.0,79.0,84.0,0
193.0,85.0,84.0,0
185.0,77.0,80.0,0
198.0,79.0,81.0,0
213.0,108.0,83.0,1
190.0,88.0,110.0,0
201.0,104.0,84.0,1
196.0,95.0,81.0,1
203.0,95.0,96.0,1
198.0,99.0,83.0,1
196.0,90.0,82.0,1
208.0,92.0,81.0,1
203.0,97.0,83.0,1
201.0,90.0,81.0,0
185.0,74.0,81.0,0
203.0,104.0,82.0,1
203.0,104.0,81.0,1
203.0,97.0,82.0,1
185.0,83.0,84.0,0
196.0,98.0,81.0,1
190.0,92.0,81.0,0
196.0,93.0,81.0,1
201.0,95.0,81.0,1
211.0,99.0,80.0,1
198.0,95.0,83.0,1
188.0,90.0,81.0,0
196.0,92.0,82.0,1
193.0,86.0,81.0,0
190.0,88.0,80.0,0
208.0,108.0,82.0,1
193.0,95.0,81.0,1
206.0,102.0,84.0,1
201.0,99.0,82.0,1
201.0,89.0,80.0,0
196.0,92.0,81.0,1
208.0,104.0,82.0,1
193.0,90.0,80.0,0
185.0,83.0,80.0,0
185.0,83.0,80.0,0
203.0,95.0,81.0,1
190.0,88.0,82.0,0
185.0,83.0,82.0,0
203.0,99.0,80.0,1
201.0,92.0,82.0,0
188.0,86.0,80.0,0
198.0,102.0,82.0,1
183.0,81.0,83.0,0
190.0,79.0,80.0,0
188.0,81.0,81.0,0
196.0,95.0,80.0,1
201.0,95.0,81.0,1
196.0,88.0,81.0,1
196.0,92.0,82.0,1
190.0,83.0,81.0,0
203.0,104.0,86.0,1
198.0,95.0,80.0,1
193.0,92.0,80.0,0
206.0,99.0,81.0,1
213.0,102.0,80.0,1
203.0,86.0,82.0,0
201.0,99.0,81.0,1
190.0,88.0,81.0,0
188.0,79.0,79.0,0
193.0,80.0,81.0,0
196.0,86.0,81.0,1
198.0,88.0,81.0,1
185.0,81.0,86.0,0
201.0,98.0,81.0,1
206.0,106.0,79.0,1
185.0,79.0,79.0,0
206.0,92.0,79.0,1
190.0,92.0,80.0,0
185.0,79.0,80.0,0
213.0,120.0,80.0,1
203.0,99.0,84.0,1
196.0,95.0,79.0,1
208.0,111.0,79.0,1
196.0,95.0,79.0,1
193.0,88.0,80.0,0
201.0,102.0,80.0,1
185.0,77.0,80.0,0
196.0,90.0,80.0,0
185.0,83.0,79.0,0
193.0,83.0,78.0,0
206.0,106.0,80.0,1
201.0,95.0,81.0,1
203.0,102.0,79.0,1
201.0,95.0,79.0,1
203.0,108.0,79.0,1
198.0,95.0,78.0,1
206.0,97.0,79.0,1
190.0,79.0,79.0,0
193.0,90.0,79.0,0
211.0,92.0,79.0,1
213.0,108.0,79.0,1
213.0,111.0,79.0,1
190.0,86.0,79.0,0
203.0,99.0,79.0,1
196.0,92.0,80.0,1
196.0,97.0,79.0,1
211.0,106.0,80.0,1
193.0,90.0,80.0,0
208.0,102.0,80.0,1
201.0,88.0,82.0,0
196.0,88.0,78.0,0
201.0,95.0,80.0,1
201.0,111.0,79.0,1
198.0,99.0,80.0,1
190.0,81.0,80.0,0
190.0,85.0,81.0,0
190.0,81.0,80.0,0
218.0,102.0,78.0,1
188.0,79.0,78.0,0
201.0,99.0,79.0,1
193.0,83.0,78.0,0
196.0,90.0,79.0,0
190.0,83.0,78.0,0
190.0,83.0,80.0,0
198.0,88.0,78.0,0
190.0,83.0,79.0,0
190.0,83.0,78.0,0
190.0,86.0,79.0,0
201.0,93.0,78.0,1
201.0,95.0,78.0,1
203.0,95.0,83.0,1
188.0,81.0,79.0,0
203.0,97.0,78.0,1
201.0,97.0,80.0,1
190.0,79.0,79.0,0
201.0,97.0,78.0,1
196.0,92.0,77.0,0
198.0,97.0,79.0,1
196.0,90.0,78.0,0
208.0,99.0,79.0,1
193.0,88.0,78.0,0
206.0,104.0,78.0,1
203.0,99.0,77.0,1
196.0,86.0,86.0,1
196.0,86.0,86.0,1
208.0,99.0,77.0,1
190.0,81.0,78.0,0
190.0,81.0,78.0,0
190.0,79.0,80.0,0
188.0,78.0,78.0,0
198.0,95.0,78.0,1
185.0,68.0,77.0,0
196.0,92.0,78.0,0
208.0,106.0,77.0,1
193.0,88.0,81.0,0
208.0,99.0,84.0,1
208.0,115.0,79.0,1
188.0,79.0,79.0,0
190.0,79.0,77.0,0
206.0,104.0,77.0,1
206.0,104.0,77.0,1
201.0,97.0,78.0,1
193.0,83.0,79.0,0
216.0,108.0,78.0,1
193.0,86.0,77.0,0
190.0,81.0,79.0,0
206.0,95.0,77.0,1
198.0,102.0,78.0,1
203.0,102.0,76.0,1
198.0,99.0,77.0,1
206.0,86.0,76.0,0
206.0,86.0,76.0,0
206.0,97.0,77.0,1
206.0,104.0,77.0,1
198.0,97.0,77.0,1
211.0,111.0,78.0,1
201.0,90.0,78.0,0
190.0,81.0,77.0,0
201.0,97.0,78.0,1
208.0,106.0,77.0,1
211.0,113.0,77.0,1
196.0,89.0,78.0,0
190.0,83.0,77.0,0
206.0,99.0,77.0,1
196.0,97.0,77.0,1
201.0,95.0,77.0,1
196.0,86.0,77.0,0
175.0,74.0,77.0,0
196.0,92.0,77.0,0
201.0,99.0,77.0,1
193.0,86.0,77.0,0
190.0,90.0,77.0,0
206.0,106.0,77.0,1
208.0,102.0,77.0,1
198.0,102.0,81.0,1
206.0,106.0,80.0,1
203.0,102.0,77.0,1
198.0,99.0,78.0,1
206.0,95.0,77.0,1
206.0,102.0,80.0,1
196.0,81.0,77.0,0
198.0,92.0,77.0,0
203.0,98.0,77.0,1
190.0,83.0,77.0,0
206.0,99.0,77.0,1
180.0,79.0,78.0,0
